A_deg,Z_mm,X_mm,B_deg,F_mm_min,tension_N
356.77367151818316,195.0,50.600351242323015,58.54279740526442,500.0,21.666666666666668
368.3871576720262,200.0,50.6002172407981,58.54260156383647,500.0,21.666666666666668
379.9997448870867,205.0,50.60044457884667,174.18539175627487,500.0,21.666666666666668
390.00030750523314,50.0,50.899619802633865,-179.54812311501982,500.0,20.0
378.3866622654143,55.0,50.899965097784616,-58.73014055052902,500.0,20.0
366.7736728072318,60.0,50.89948620704177,-58.729064858132446,500.0,20.0
355.16120459831785,65.0,50.89976792110195,-58.728578571773056,500.0,20.0
343.5487176110712,70.0,50.900427442754186,-58.72926493753947,500.0,20.0
331.93558868370627,75.0,50.90005922978597,-58.72954976750747,500.0,20.0
320.32303250629855,80.0,50.900075916799956,-58.72913672296367,500.0,20.0
308.71012776555847,85.0,50.89989375291823,-58.729957406922516,500.0,20.0
297.09694462307397,90.0,50.900340108610344,-58.730223505391194,500.0,20.0
285.4837683582138,95.0,50.90043541333026,-58.730162347324516,500.0,20.0
273.87073079280805,100.0,50.90029792067535,-58.72999287795445,500.0,20.0
262.2576103593763,105.0,50.89985120999831,-58.72929057771736,500.0,20.0
250.64536371097864,110.0,50.90047610969828,-58.72852615014035,500.0,20.0
239.0326397331358,115.0,50.899840158611866,-58.729595752120304,500.0,20.0
227.41967648667338,120.0,50.90016787251612,-58.72957773917198,500.0,20.0
215.80686427623624,125.0,50.900439374168094,-58.72984804378697,500.0,20.0
204.19376456045867,130.0,50.900507429615104,-58.72950265545813,500.0,20.0
192.5812290479031,135.0,50.90008563560717,-58.72952761831193,500.0,20.0
180.9680543904172,140.0,50.89983761581456,-58.729721854652055,500.0,20.0
169.35521654508707,145.0,50.8998342417179,-58.72984715188396,500.0,20.0
157.7417823508528,150.0,50.899583958764175,-58.73052758203949,500.0,20.0
146.12848822149692,155.0,50.9001920044393,-58.729737462708805,500.0,20.0
134.51560420034025,160.0,50.8998107697334,-58.72852347771573,500.0,20.0
122.90365168296523,165.0,50.89995654031921,-58.728569598030994,500.0,20.0
111.2907617263117,170.0,50.900465547472685,-58.73044888760157,500.0,20.0
99.6769647547411,175.0,50.899960256704404,-58.729678166555175,500.0,20.0
88.0650393107504,180.0,50.900321392380285,-58.7282447600416,500.0,20.0
76.45233995404709,185.0,50.90002695598134,-58.72970533207083,500.0,20.0
64.83906507587794,190.0,50.899678262793216,-58.729845469044285,500.0,20.0
53.22620274557133,195.0,50.89985753031421,-58.73045704430326,500.0,20.0
41.612249695031196,200.0,50.89981860595472,-58.729457749693914,500.0,20.0
30.00030750523313,205.0,50.899619802633865,-58.72733665212471,500.0,20.0
